Data Type;HTS Number;Year;Month;Description;Quantity Description;General First Unit of Quantity;Suppressed
General CIF Imports Value;4011;1992;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;209306595.00;
General CIF Imports Value;4011;1993;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;231203162.00;
General CIF Imports Value;4011;1994;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;259588242.00;
General CIF Imports Value;4011;1995;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;250862749.00;
General CIF Imports Value;4011;1996;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;241259721.00;
General CIF Imports Value;4011;1997;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;290491145.00;
General CIF Imports Value;4011;1998;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;345922872.00;
General CIF Imports Value;4011;1999;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;443362307.00;
General CIF Imports Value;4011;2000;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;366022688.00;
General CIF Imports Value;4011;2001;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;360395324.00;
General CIF Imports Value;4011;2002;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;386348616.00;
General CIF Imports Value;4011;2003;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;423383199.00;
General CIF Imports Value;4011;2004;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;586820063.00;
General CIF Imports Value;4011;2005;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;684420022.00;
General CIF Imports Value;4011;2006;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;741537009.00;
General CIF Imports Value;4011;2007;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;839642725.00;
General CIF Imports Value;4011;2008;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;805180251.00;
General CIF Imports Value;4011;2009;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;693504964.00;
General CIF Imports Value;4011;2010;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1031707651.00;
General CIF Imports Value;4011;2011;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1156970454.00;
General CIF Imports Value;4011;2012;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1179596364.00;
General CIF Imports Value;4011;2013;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1182356065.00;
General CIF Imports Value;4011;2014;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1210417537.00;
General CIF Imports Value;4011;2015;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1162307398.00;
General CIF Imports Value;4011;2016;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1158167772.00;
General CIF Imports Value;4011;2017;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1245424025.00;
General CIF Imports Value;4011;2018;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1340669837.00;
General CIF Imports Value;4011;2019;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1228068926.00;
General CIF Imports Value;4011;2020;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1434982866.00;
General CIF Imports Value;4011;2021;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1529678633.00;
General CIF Imports Value;4011;2022;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1652828178.00;
General CIF Imports Value;4011;2023;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1665659988.00;
General CIF Imports Value;4011;2024;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1642997410.00;
General CIF Imports Value;4011;2025;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1595265820.00;
General CIF Imports Value;4011;1989;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;220315184.00;
General CIF Imports Value;4011;1990;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;193414145.00;
General CIF Imports Value;4011;1991;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;183154817.00;
General CIF Imports Value;4011;1992;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;221734370.00;
General CIF Imports Value;4011;1993;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;245040152.00;
General CIF Imports Value;4011;1994;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;266945985.00;
General CIF Imports Value;4011;1995;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;228053697.00;
General CIF Imports Value;4011;1996;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;265100679.00;
General CIF Imports Value;4011;1997;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;307707047.00;
General CIF Imports Value;4011;1998;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;369349599.00;
General CIF Imports Value;4011;1999;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;405701245.00;
General CIF Imports Value;4011;2000;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;328462367.00;
General CIF Imports Value;4011;2001;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;339473354.00;
General CIF Imports Value;4011;2002;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;428063640.00;
General CIF Imports Value;4011;2003;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;486486805.00;
General CIF Imports Value;4011;2004;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;596233135.00;
General CIF Imports Value;4011;2005;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;686716460.00;
General CIF Imports Value;4011;2006;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;731931601.00;
General CIF Imports Value;4011;2007;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;842363929.00;
General CIF Imports Value;4011;2008;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;743754880.00;
General CIF Imports Value;4011;2009;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;730601917.00;
General CIF Imports Value;4011;2010;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1037161748.00;
General CIF Imports Value;4011;2011;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1172531476.00;
General CIF Imports Value;4011;2012;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1119443061.00;
General CIF Imports Value;4011;2013;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1153503633.00;
General CIF Imports Value;4011;2014;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1122048567.00;
General CIF Imports Value;4011;2015;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1170904439.00;
General CIF Imports Value;4011;2016;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1195366324.00;
General CIF Imports Value;4011;2017;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1212700031.00;
General CIF Imports Value;4011;2018;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1450930807.00;
General CIF Imports Value;4011;2019;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1265841199.00;
General CIF Imports Value;4011;2020;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1446055405.00;
General CIF Imports Value;4011;2021;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1623889070.00;
General CIF Imports Value;4011;2022;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1588926835.00;
General CIF Imports Value;4011;2023;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1647880950.00;
General CIF Imports Value;4011;2024;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1637493309.00;
General CIF Imports Value;4011;2025;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;1600501650.00;
Total: ;;;;;;365,162,111,579;
;;;;;;;
;;;;;;;
Data Type;HTS Number;Year;Month;Description;Quantity Description;General Import Charges;
General Import Charges;4011;1989;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12011335.00;
General Import Charges;4011;1990;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14582543.00;
General Import Charges;4011;1991;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11286080.00;
General Import Charges;4011;1992;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;10143604.00;
General Import Charges;4011;1993;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;10755953.00;
General Import Charges;4011;1994;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11685520.00;
General Import Charges;4011;1995;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14383354.00;
General Import Charges;4011;1996;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12758170.00;
General Import Charges;4011;1997;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11120234.00;
General Import Charges;4011;1998;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13128318.00;
General Import Charges;4011;1999;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;15625376.00;
General Import Charges;4011;2000;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;27279022.00;
General Import Charges;4011;2001;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;21823238.00;
General Import Charges;4011;2002;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;19745527.00;
General Import Charges;4011;2003;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;25422695.00;
General Import Charges;4011;2004;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;32306522.00;
General Import Charges;4011;2005;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;41350855.00;
General Import Charges;4011;2006;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;48688717.00;
General Import Charges;4011;2007;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;51223603.00;
General Import Charges;4011;2008;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;49322125.00;
General Import Charges;4011;2009;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;38625645.00;
General Import Charges;4011;2010;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;37932139.00;
General Import Charges;4011;2011;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;57150375.00;
General Import Charges;4011;2012;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;56030466.00;
General Import Charges;4011;2013;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;60664338.00;
General Import Charges;4011;2014;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;61815718.00;
General Import Charges;4011;2015;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;65901892.00;
General Import Charges;4011;2016;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;64811126.00;
General Import Charges;4011;2017;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;68018795.00;
General Import Charges;4011;2018;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;66934317.00;
General Import Charges;4011;2019;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;73852914.00;
General Import Charges;4011;2020;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;69658420.00;
General Import Charges;4011;2021;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;96923288.00;
General Import Charges;4011;2022;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;185231588.00;
General Import Charges;4011;2023;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;127894964.00;
General Import Charges;4011;2024;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;105552690.00;
General Import Charges;4011;2025;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;107473058.00;
General Import Charges;4011;2026;1;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;106120720.00;
General Import Charges;4011;1989;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13447517.00;
General Import Charges;4011;1990;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12849006.00;
General Import Charges;4011;1991;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11871380.00;
General Import Charges;4011;1992;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;9423894.00;
General Import Charges;4011;1993;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;10173092.00;
General Import Charges;4011;1994;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11692007.00;
General Import Charges;4011;1995;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13425046.00;
General Import Charges;4011;1996;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12901127.00;
General Import Charges;4011;1997;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12526333.00;
General Import Charges;4011;1998;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14583592.00;
General Import Charges;4011;1999;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;16989815.00;
General Import Charges;4011;2000;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;25271965.00;
General Import Charges;4011;2001;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;18923352.00;
General Import Charges;4011;2002;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;19378951.00;
General Import Charges;4011;2003;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;23273660.00;
General Import Charges;4011;2004;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;30512847.00;
General Import Charges;4011;2005;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;38304740.00;
General Import Charges;4011;2006;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;42129095.00;
General Import Charges;4011;2007;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;43629753.00;
General Import Charges;4011;2008;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;47704381.00;
General Import Charges;4011;2009;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;31801547.00;
General Import Charges;4011;2010;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;35942506.00;
General Import Charges;4011;2011;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;52137377.00;
General Import Charges;4011;2012;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;49252974.00;
General Import Charges;4011;2013;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;52254624.00;
General Import Charges;4011;2014;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;54641299.00;
General Import Charges;4011;2015;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;48235335.00;
General Import Charges;4011;2016;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;59276975.00;
General Import Charges;4011;2017;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;54428507.00;
General Import Charges;4011;2018;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;60034494.00;
General Import Charges;4011;2019;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;61266679.00;
General Import Charges;4011;2020;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;63756780.00;
General Import Charges;4011;2021;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;79038151.00;
General Import Charges;4011;2022;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;171998933.00;
General Import Charges;4011;2023;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;99534560.00;
General Import Charges;4011;2024;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;98601214.00;
General Import Charges;4011;2025;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;103856267.00;
General Import Charges;4011;2026;2;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;87708974.00;
General Import Charges;4011;1989;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;16363949.00;
General Import Charges;4011;1990;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14990035.00;
General Import Charges;4011;1991;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12370108.00;
General Import Charges;4011;1992;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;10893622.00;
General Import Charges;4011;1993;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13843665.00;
General Import Charges;4011;1994;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14225929.00;
General Import Charges;4011;1995;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;16745019.00;
General Import Charges;4011;1996;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13587473.00;
General Import Charges;4011;1997;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13380861.00;
General Import Charges;4011;1998;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;17090250.00;
General Import Charges;4011;1999;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;20853091.00;
General Import Charges;4011;2000;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;27574883.00;
General Import Charges;4011;2001;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;22190932.00;
General Import Charges;4011;2002;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;22693270.00;
General Import Charges;4011;2003;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;26610176.00;
General Import Charges;4011;2004;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;38295685.00;
General Import Charges;4011;2005;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;45429598.00;
General Import Charges;4011;2006;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;51393008.00;
General Import Charges;4011;2007;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;47197033.00;
General Import Charges;4011;2008;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;53681141.00;
General Import Charges;4011;2009;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;40817268.00;
General Import Charges;4011;2010;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;44592925.00;
General Import Charges;4011;2011;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;59166838.00;
General Import Charges;4011;2012;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;56734720.00;
General Import Charges;4011;2013;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;58478519.00;
General Import Charges;4011;2014;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;66812663.00;
General Import Charges;4011;2015;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;70676103.00;
General Import Charges;4011;2016;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;69456831.00;
General Import Charges;4011;2017;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;65199106.00;
General Import Charges;4011;2018;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;66751045.00;
General Import Charges;4011;2019;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;75805510.00;
General Import Charges;4011;2020;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;75979529.00;
General Import Charges;4011;2021;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;109021944.00;
General Import Charges;4011;2022;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;217944157.00;
General Import Charges;4011;2023;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;124578037.00;
General Import Charges;4011;2024;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;105175352.00;
General Import Charges;4011;2025;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;121395982.00;
General Import Charges;4011;2026;3;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;111098839.00;
General Import Charges;4011;1989;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14724856.00;
General Import Charges;4011;1990;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14844819.00;
General Import Charges;4011;1991;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12052744.00;
General Import Charges;4011;1992;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;10956861.00;
General Import Charges;4011;1993;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12524862.00;
General Import Charges;4011;1994;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12499431.00;
General Import Charges;4011;1995;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;15992492.00;
General Import Charges;4011;1996;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14150152.00;
General Import Charges;4011;1997;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14582245.00;
General Import Charges;4011;1998;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;15879142.00;
General Import Charges;4011;1999;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;18494610.00;
General Import Charges;4011;2000;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;27293511.00;
General Import Charges;4011;2001;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;21905002.00;
General Import Charges;4011;2002;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;23128424.00;
General Import Charges;4011;2003;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;29674692.00;
General Import Charges;4011;2004;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;37727582.00;
General Import Charges;4011;2005;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;47295832.00;
General Import Charges;4011;2006;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;50884609.00;
General Import Charges;4011;2007;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;51429943.00;
General Import Charges;4011;2008;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;56209378.00;
General Import Charges;4011;2009;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;37602213.00;
General Import Charges;4011;2010;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;47929502.00;
General Import Charges;4011;2011;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;56845492.00;
General Import Charges;4011;2012;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;59905386.00;
General Import Charges;4011;2013;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;67995716.00;
General Import Charges;4011;2014;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;68831193.00;
General Import Charges;4011;2015;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;82355070.00;
General Import Charges;4011;2016;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;67175417.00;
General Import Charges;4011;2017;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;57941138.00;
General Import Charges;4011;2018;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;68061554.00;
General Import Charges;4011;2019;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;68704230.00;
General Import Charges;4011;2020;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;70311010.00;
General Import Charges;4011;2021;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;110106700.00;
General Import Charges;4011;2022;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;234908419.00;
General Import Charges;4011;2023;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;118692039.00;
General Import Charges;4011;2024;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;105727255.00;
General Import Charges;4011;2025;4;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;117570202.00;
General Import Charges;4011;1989;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;15006612.00;
General Import Charges;4011;1990;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;15349959.00;
General Import Charges;4011;1991;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11742222.00;
General Import Charges;4011;1992;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;10714404.00;
General Import Charges;4011;1993;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12082091.00;
General Import Charges;4011;1994;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13342227.00;
General Import Charges;4011;1995;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;15724675.00;
General Import Charges;4011;1996;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13350810.00;
General Import Charges;4011;1997;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12544935.00;
General Import Charges;4011;1998;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;16137922.00;
General Import Charges;4011;1999;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;19858957.00;
General Import Charges;4011;2000;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;27742402.00;
General Import Charges;4011;2001;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;21676952.00;
General Import Charges;4011;2002;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;23918153.00;
General Import Charges;4011;2003;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;28515374.00;
General Import Charges;4011;2004;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;37858799.00;
General Import Charges;4011;2005;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;48322129.00;
General Import Charges;4011;2006;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;50350903.00;
General Import Charges;4011;2007;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;51754837.00;
General Import Charges;4011;2008;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;53409967.00;
General Import Charges;4011;2009;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;38367315.00;
General Import Charges;4011;2010;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;47826727.00;
General Import Charges;4011;2011;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;58626737.00;
General Import Charges;4011;2012;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;59423627.00;
General Import Charges;4011;2013;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;64813247.00;
General Import Charges;4011;2014;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;69433979.00;
General Import Charges;4011;2015;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;78709211.00;
General Import Charges;4011;2016;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;65670738.00;
General Import Charges;4011;2017;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;68629852.00;
General Import Charges;4011;2018;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;66518245.00;
General Import Charges;4011;2019;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;72065816.00;
General Import Charges;4011;2020;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;45870646.00;
General Import Charges;4011;2021;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;115879705.00;
General Import Charges;4011;2022;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;261990372.00;
General Import Charges;4011;2023;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;105441264.00;
General Import Charges;4011;2024;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;99402705.00;
General Import Charges;4011;2025;5;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;108559613.00;
General Import Charges;4011;1989;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;15966832.00;
General Import Charges;4011;1990;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14702982.00;
General Import Charges;4011;1991;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11140735.00;
